entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,original_stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2024-05-01 13:30:00,2024-05-01 19:30:00,US30,LONG,pin_bar,37877.0390625,37887.0390625,37604.37890625,38434.96875,37887.0390625,sl_hit,10.0,18.337846162662427,0.0,2.0462457557914644,0.0,3,0
2024-10-31 15:30:00,2024-11-01 13:30:00,US30,LONG,false_breakout_b1,41870.21875,41697.80859375,41697.80859375,42215.0390625,42215.0390625,tp_hit,344.8203125,1000.0,0.8235455242277663,2.0,2.0,7,0
2024-11-01 16:30:00,2024-11-04 16:30:00,US30,LONG,pin_bar,42205.1796875,41697.80859375,41697.80859375,43219.921875,41697.80859375,sl_hit,-507.37109375,-500.0,-1.20215361599389,2.0,-1.0,8,0
2024-11-05 14:30:00,2024-11-06 14:30:00,US30,LONG,false_breakout_b1,42077.19921875,41697.80859375,41697.80859375,42835.98046875,42835.98046875,tp_hit,758.78125,1000.0,1.803307406596302,2.0,2.0,9,0
2024-12-23 16:30:00,2024-12-30 14:30:00,US30,LONG,false_breakout_b1,42747.5,42757.5,42542.37109375,44806.26171875,42757.5,sl_hit,10.0,24.37491668729648,0.0,10.03642907470531,0.0,7,0
2024-12-24 14:30:00,2024-12-27 14:30:00,US30,LONG,false_breakout_b1,43035.98046875,43045.98046875,42788.87109375,44806.26171875,43045.98046875,sl_hit,10.0,20.23395510591211,0.0,7.163958267467594,0.0,5,0
2024-12-26 17:30:00,2024-12-27 16:30:00,US30,LONG,pin_bar,43342.0390625,42788.87109375,42788.87109375,44806.26171875,42788.87109375,sl_hit,-553.16796875,-500.0,-1.2762850588370378,2.6469765766783655,-1.0,5,0
2024-12-27 18:30:00,2024-12-30 14:30:00,US30,LONG,false_breakout_b1,42979.6796875,42788.87109375,42788.87109375,43361.296875,42788.87109375,sl_hit,-190.80859375,-500.0,-0.4439507114463066,2.0,-1.0,6,0
2025-01-03 17:30:00,2025-01-06 16:30:00,US30,LONG,false_breakout_b1,42716.28125,42726.28125,42542.37109375,43064.1015625,43064.1015625,tp_hit,347.8203125,1000.0,0.0,2.0,0.0,11,0
2025-01-06 14:30:00,2025-01-06 18:30:00,US30,LONG,false_breakout_b1,42996.76171875,42788.87109375,42788.87109375,43412.54296875,42788.87109375,sl_hit,-207.890625,-500.0,-0.483502981828846,2.0,-1.0,7,0
2025-01-15 14:30:00,2025-01-28 14:30:00,US30,LONG,false_breakout_b1,43204.76171875,43214.76171875,42788.87109375,44806.26171875,44806.26171875,tp_hit,1601.5,1925.3860314836381,0.0,3.8507720629672764,0.0,8,0
2025-01-21 15:30:00,2025-01-23 15:30:00,US30,LONG,false_breakout_b1,43910.98828125,43920.98828125,43679.98046875,44373.00390625,44373.00390625,tp_hit,462.015625,1000.0,0.0,2.0,0.0,6,0
2025-05-29 13:30:00,2025-06-13 17:30:00,US30,LONG,pin_bar,42159.91015625,42169.91015625,41627.98046875,44601.9609375,42169.91015625,sl_hit,10.0,9.399738569771028,0.0,4.590927783571019,0.0,5,0
2025-07-18 14:30:00,2025-07-23 17:30:00,US30,LONG,pin_bar,44326.2109375,44336.2109375,44010.3203125,44957.9921875,44957.9921875,tp_hit,631.78125,1000.0,0.0,2.0,0.0,5,0
2025-08-06 14:30:00,2025-08-07 14:30:00,US30,LONG,false_breakout_b1,44242.01953125,44252.01953125,44010.3203125,44705.41796875,44252.01953125,sl_hit,10.0,21.579701593188908,0.0,2.0,0.0,8,0
2025-08-08 13:30:00,2025-08-11 14:30:00,US30,LONG,false_breakout_b1,44200.75,44010.3203125,44010.3203125,44581.609375,44010.3203125,sl_hit,-190.4296875,-500.0,-0.4308290866105213,2.0,-1.0,9,0
2025-08-12 13:30:00,2025-08-15 13:30:00,US30,LONG,false_breakout_b1,44403.1015625,44413.1015625,44010.3203125,45188.6640625,45188.6640625,tp_hit,785.5625,1000.0,0.0,2.0,0.0,10,0
2025-08-21 14:30:00,2025-08-22 13:30:00,US30,LONG,pin_bar,44838.76171875,44500.58984375,44500.58984375,45515.10546875,45515.10546875,tp_hit,676.34375,1000.0,1.5083907852816032,2.0,2.0,5,0
2025-10-17 15:30:00,2025-10-20 14:30:00,US30,LONG,false_breakout_b1,46170.5390625,46180.5390625,45953.390625,46604.8359375,46604.8359375,tp_hit,434.296875,1000.0,0.0,2.0,0.0,6,0
2025-11-19 19:30:00,2025-11-20 14:30:00,US30,LONG,false_breakout_b1,46151.76953125,45953.390625,45953.390625,46726.28125,46726.28125,tp_hit,574.51171875,1448.0161464999508,1.2448313999336258,2.8960322929999016,2.8960322929999016,10,0
2025-11-21 18:30:00,2025-11-21 19:30:00,US30,LONG,false_breakout_b1,46536.58984375,46311.51953125,46311.51953125,46986.73046875,46311.51953125,sl_hit,-225.0703125,-500.0,-0.4836416103021085,2.0,-1.0,6,0
2025-11-25 16:30:00,2025-11-26 16:30:00,US30,LONG,false_breakout_b1,46980.859375,46990.859375,46713.05078125,47516.4765625,47516.4765625,tp_hit,535.6171875,1000.0,0.0,2.0,0.0,4,0
2026-01-21 18:30:00,2026-01-21 20:30:00,US30,LONG,false_breakout_b1,49058.12109375,49068.12109375,48861.30859375,49512.80078125,49068.12109375,sl_hit,10.0,25.40489044140997,0.0,2.3102175293744045,0.0,5,0
2026-01-21 20:30:00,2026-01-23 14:30:00,US30,LONG,pin_bar,49077.3515625,49087.3515625,48701.98046875,49828.09375,49087.3515625,sl_hit,10.0,13.320151932982984,0.0,2.0,0.0,5,0
2026-03-02 16:30:00,2026-03-03 14:30:00,US30,LONG,false_breakout_b1,48911.3203125,48701.98046875,48701.98046875,49338.21875,48701.98046875,sl_hit,-209.33984375,-500.0,-0.4279987585951552,2.039260323561792,-1.0,18,0
