time,open,high,low,close,volume
2024-03-27 12:00:00,16422.837890625,16431.82421875,16279.2568359375,16327.09765625,1028740000
2024-03-27 16:00:00,16328.6171875,16401.4296875,16301.59375,16401.4296875,1636623000
2024-03-28 12:00:00,16373.1494140625,16420.556640625,16348.703125,16393.248046875,1100529000
2024-03-28 16:00:00,16393.4140625,16412.162109375,16365.947265625,16371.0283203125,1705459000
2024-04-01 12:00:00,16393.619140625,16490.654296875,16327.904296875,16371.2158203125,1049695000
2024-04-01 16:00:00,16372.412109375,16402.91015625,16336.5166015625,16395.49609375,1513835000
2024-04-02 12:00:00,16200.2470703125,16210.9951171875,16138.5849609375,16186.1328125,997713000
2024-04-02 16:00:00,16186.1962890625,16251.287109375,16184.970703125,16239.9228515625,1486504000
2024-04-03 12:00:00,16175.0810546875,16340.7275390625,16169.30859375,16320.14453125,1071622000
2024-04-03 16:00:00,16319.1005859375,16332.12890625,16239.052734375,16277.72265625,1740775000
2024-04-04 12:00:00,16419.423828125,16464.3046875,16395.076171875,16458.462890625,2050631699
2024-04-04 16:00:00,16458.970703125,16468.0234375,16046.9521484375,16046.9521484375,1981804000
2024-04-05 12:00:00,16095.8251953125,16303.53125,16080.8310546875,16290.703125,1028568000
2024-04-05 16:00:00,16291.37109375,16326.49609375,16203.6484375,16245.41796875,1467211000
2024-04-08 12:00:00,16285.1357421875,16323.583984375,16221.396484375,16244.208984375,898177000
2024-04-08 16:00:00,16243.7392578125,16289.5625,16241.9794921875,16255.818359375,1539507000
2024-04-09 12:00:00,16330.896484375,16347.33984375,16141.154296875,16246.9150390625,1132726000
2024-04-09 16:00:00,16247.685546875,16309.09765625,16178.7802734375,16308.3203125,1623856000
2024-04-10 12:00:00,16102.6689453125,16199.9775390625,16093.0888671875,16131.12890625,1127343000
2024-04-10 16:00:00,16131.79296875,16188.9814453125,16100.4052734375,16168.2197265625,1670827000
2024-04-11 12:00:00,16234.4755859375,16294.9755859375,16154.798828125,16276.21484375,923754000
2024-04-11 16:00:00,16276.20703125,16463.93359375,16271.259765625,16439.205078125,1656724000
2024-04-12 12:00:00,16291.4560546875,16340.78125,16204.15625,16208.072265625,861872000
2024-04-12 16:00:00,16208.298828125,16211.7421875,16125.326171875,16178.4150390625,1536533000
2024-04-15 12:00:00,16274.03125,16295.150390625,16122.541015625,16125.615234375,923540000
2024-04-15 16:00:00,16125.3662109375,16125.3662109375,15864.0126953125,15885.9140625,1691481000
2024-04-16 12:00:00,15858.5849609375,15925.6259765625,15824.7470703125,15884.978515625,1107927000
2024-04-16 16:00:00,15885.3505859375,15963.69921875,15823.4130859375,15866.39453125,1575856000
2024-04-17 12:00:00,15935.1328125,15955.7060546875,15705.765625,15715.2373046875,1206097000
2024-04-17 16:00:00,15713.8115234375,15814.849609375,15654.822265625,15682.1826171875,1686769000
2024-04-18 12:00:00,15704.9384765625,15786.119140625,15598.701171875,15740.28515625,1022989000
2024-04-18 16:00:00,15740.7275390625,15742.80859375,15587.6337890625,15603.775390625,1606637000
2024-04-19 12:00:00,15547.8076171875,15576.39453125,15313.109375,15313.9169921875,1116409000
2024-04-19 16:00:00,15312.72265625,15425.5947265625,15223.7470703125,15281.86328125,1722922000
2024-04-22 12:00:00,15396.6806640625,15428.71484375,15266.0263671875,15370.6279296875,967277000
2024-04-22 16:00:00,15370.6572265625,15539.001953125,15351.76171875,15453.5927734375,1555682000
2024-04-23 12:00:00,15526.869140625,15694.7412109375,15511.4267578125,15689.365234375,1051674000
2024-04-23 16:00:00,15690.2431640625,15730.3486328125,15664.3056640625,15694.4453125,1605094000
2024-04-24 12:00:00,15797.8955078125,15838.7822265625,15648.197265625,15666.8544921875,1066868000
2024-04-24 16:00:00,15666.9228515625,15755.3916015625,15635.220703125,15715.0673828125,1504894000
2024-04-25 12:00:00,15379.724609375,15521.806640625,15346.181640625,15518.30078125,992018000
2024-04-25 16:00:00,15518.51171875,15644.3330078125,15502.2490234375,15614.9140625,1511959000
2024-04-26 12:00:00,15823.9033203125,15968.1875,15773.9375,15934.0966796875,988574000
2024-04-26 16:00:00,15934.134765625,15980.7451171875,15917.724609375,15929.4833984375,1539666000
2024-04-29 12:00:00,16004.650390625,16021.4287109375,15919.4248046875,15987.029296875,1072080000
2024-04-29 16:00:00,15986.7353515625,16013.31640625,15886.517578125,15985.04296875,1639750000
2024-04-30 12:00:00,15915.6025390625,15979.2001953125,15829.2197265625,15856.236328125,969826000
2024-04-30 16:00:00,15856.5185546875,15856.5185546875,15658.7275390625,15664.453125,1826465000
2024-05-01 12:00:00,15644.6455078125,15667.732421875,15558.19921875,15615.3896484375,933848000
2024-05-01 16:00:00,15614.4853515625,15923.2900390625,15570.8681640625,15612.029296875,1989580000
2024-05-02 12:00:00,15758.0634765625,15762.3388671875,15606.0888671875,15732.3359375,1002976000
2024-05-02 16:00:00,15734.740234375,15862.787109375,15698.9443359375,15845.2216796875,1796654000
2024-05-03 12:00:00,16144.3251953125,16204.7119140625,16069.265625,16142.0205078125,1052708000
2024-05-03 16:00:00,16142.13671875,16187.9072265625,16127.318359375,16156.6044921875,1551275000
2024-05-06 12:00:00,16210.6650390625,16284.1337890625,16199.7744140625,16255.4462890625,1005190000
2024-05-06 16:00:00,16255.7607421875,16348.2724609375,16253.7333984375,16348.2724609375,1579710000
2024-05-07 12:00:00,16357.541015625,16396.416015625,16326.6357421875,16389.740234375,1152705000
2024-05-07 16:00:00,16389.685546875,16396.955078125,16304.568359375,16332.103515625,1661464000
2024-05-08 12:00:00,16228.9111328125,16341.5224609375,16228.9111328125,16292.4755859375,958175000
2024-05-08 16:00:00,16292.2490234375,16311.5869140625,16263.9111328125,16302.763671875,1524790000
2024-05-09 12:00:00,16324.1982421875,16357.3935546875,16242.4775390625,16331.8310546875,1020117000
2024-05-09 16:00:00,16331.8095703125,16362.7548828125,16318.9150390625,16347.7158203125,1512967000
2024-05-10 12:00:00,16387.86328125,16435.548828125,16293.818359375,16319.9091796875,1024665000
2024-05-10 16:00:00,16320.078125,16350.6357421875,16296.2080078125,16340.3896484375,1502225000
2024-05-13 12:00:00,16396.615234375,16406.03515625,16335.3486328125,16397.6953125,1086636000
2024-05-13 16:00:00,16397.60546875,16404.7109375,16342.0712890625,16389.26953125,1541631000
2024-05-14 12:00:00,16388.92578125,16470.603515625,16388.8046875,16421.345703125,1615111000
2024-05-14 16:00:00,16421.458984375,16525.998046875,16411.43359375,16507.32421875,2984019000
2024-05-15 12:00:00,16600.046875,16680.3828125,16544.71484375,16679.47265625,1607415000
2024-05-15 16:00:00,16680.4375,16749.404296875,16678.830078125,16742.013671875,3216855000
2024-05-16 12:00:00,16746.30859375,16797.1640625,16726.60546875,16760.0859375,2904827000
2024-05-16 16:00:00,16760.33203125,16771.27734375,16694.013671875,16695.462890625,5134864000
2024-05-17 12:00:00,16708.14453125,16725.927734375,16677.279296875,16693.853515625,2056817000
2024-05-17 16:00:00,16693.845703125,16697.298828125,16613.8359375,16686.49609375,3408174000
2024-05-20 12:00:00,16699.6640625,16806.904296875,16696.294921875,16789.84765625,1824695000
