time,open,high,low,close,volume
2026-01-26 14:30:00+00:00,49137.6484375,49366.37109375,49137.6484375,49281.3984375,0
2026-01-26 15:30:00+00:00,49282.19140625,49341.91015625,49204.46875,49268.58984375,55235536
2026-01-26 16:30:00+00:00,49267.421875,49310.48828125,49224.3203125,49296.7109375,38055331
2026-01-26 17:30:00+00:00,49296.640625,49439.1796875,49287.51953125,49438.66015625,33455797
2026-01-26 18:30:00+00:00,49438.51171875,49455.94921875,49357.6796875,49424.51953125,32841673
2026-01-26 19:30:00+00:00,49424.48828125,49488.80859375,49409.44921875,49447.0,38602795
2026-01-26 20:30:00+00:00,49446.55859375,49476.609375,49405.23046875,49406.62109375,50444284
2026-01-27 14:30:00+00:00,49103.578125,49132.328125,48898.4296875,48909.87890625,0
2026-01-27 15:30:00+00:00,48909.828125,49106.0703125,48894.609375,49097.76171875,71515754
2026-01-27 16:30:00+00:00,49098.26953125,49157.80078125,48913.37109375,48970.23046875,49163056
2026-01-27 17:30:00+00:00,48969.890625,48973.62109375,48862.51953125,48929.4609375,46142876
2026-01-27 18:30:00+00:00,48929.69921875,48990.23046875,48926.01171875,48984.33984375,46959647
2026-01-27 19:30:00+00:00,48984.83984375,49015.25,48962.62109375,48968.8984375,51298158
2026-01-27 20:30:00+00:00,48967.6796875,49015.66015625,48958.71875,49004.05078125,54816110
2026-01-28 14:30:00+00:00,49024.6796875,49150.33984375,48908.76953125,49005.30078125,0
2026-01-28 15:30:00+00:00,49006.05859375,49079.73828125,48990.53125,49071.01953125,54107650
2026-01-28 16:30:00+00:00,49084.05859375,49084.26171875,48999.2109375,49032.98828125,47562923
2026-01-28 17:30:00+00:00,49033.4609375,49045.03125,48983.671875,49023.26953125,33512862
2026-01-28 18:30:00+00:00,49022.94921875,49036.3515625,48917.140625,48917.140625,39720968
2026-01-28 19:30:00+00:00,48916.91015625,49134.16015625,48901.48828125,48978.41015625,54223065
2026-01-28 20:30:00+00:00,48978.98046875,49044.71875,48937.8984375,49010.23046875,53145014
2026-01-29 14:30:00+00:00,48938.26953125,49292.80859375,48825.94140625,48829.1484375,0
2026-01-29 15:30:00+00:00,48828.73828125,48899.0390625,48597.21875,48840.55859375,94074220
2026-01-29 16:30:00+00:00,48839.078125,49061.80078125,48837.83984375,49007.23828125,62613639
2026-01-29 17:30:00+00:00,49005.8515625,49024.4609375,48771.109375,48916.23046875,52411041
2026-01-29 18:30:00+00:00,48915.98046875,48998.44921875,48831.23046875,48990.98828125,47101020
2026-01-29 19:30:00+00:00,48991.0390625,49011.69921875,48892.12890625,48922.23828125,58488381
2026-01-29 20:30:00+00:00,48922.640625,49065.140625,48922.640625,49033.16015625,88319955
2026-01-30 14:30:00+00:00,48991.62109375,49047.6796875,48835.76171875,48854.2890625,0
2026-01-30 15:30:00+00:00,48855.01953125,48868.28125,48826.9296875,48839.328125,8509509
2026-02-02 18:30:00+00:00,49406.55078125,49436.48046875,49403.37890625,49433.21875,185270693
2026-02-02 19:30:00+00:00,49433.359375,49484.94921875,49380.12109375,49410.0,75094779
2026-02-02 20:30:00+00:00,49410.03125,49443.98046875,49379.5703125,49406.0390625,80059842
2026-02-03 14:30:00+00:00,49358.58984375,49653.12890625,49358.21875,49473.71875,0
2026-02-03 15:30:00+00:00,49477.69921875,49511.53125,49366.3515625,49366.3515625,88583154
2026-02-03 16:30:00+00:00,49368.69921875,49383.87109375,49169.1796875,49183.55859375,74790356
2026-02-03 17:30:00+00:00,49183.80078125,49183.98828125,48944.7890625,48945.87109375,74848284
2026-02-03 18:30:00+00:00,48947.5,49023.7109375,48832.78125,48952.30859375,67819689
2026-02-03 19:30:00+00:00,48955.01953125,49152.078125,48937.91015625,49150.23828125,81964523
2026-02-03 20:30:00+00:00,49149.87109375,49277.19140625,49148.94921875,49236.6796875,76287879
2026-02-04 14:30:00+00:00,49323.58984375,49642.41015625,49254.80078125,49615.1484375,0
