entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_pct,rr_planned,rr_actual,zone_touches
2024-05-01 13:30:00,2024-05-01 19:30:00,US30,LONG,pin_bar,37877.0390625,37887.0390625,38434.96875,37887.0390625,sl_hit,10.0,0.0,2.7530309747306334,0.0,3
2024-05-14 16:30:00,2024-05-14 18:30:00,US30,SHORT,false_breakout_b1,39390.69921875,39501.3515625,38072.08984375,39501.3515625,sl_hit,-110.65234375,-0.2809098237518196,11.916687259505066,-1.0,4
2024-05-20 15:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39996.73828125,39986.73828125,38072.08984375,38072.08984375,tp_hit,1924.6484375,0.0,14.329630060493253,0.0,2
2024-05-20 17:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39852.98828125,39842.98828125,38072.08984375,38072.08984375,tp_hit,1780.8984375,0.0,18.628340279480266,0.0,4
2024-05-22 17:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39577.3203125,39567.3203125,38072.08984375,38072.08984375,tp_hit,1505.23046875,0.0,10.030168150346192,0.0,3
2024-06-03 14:30:00,2024-06-03 18:30:00,US30,SHORT,false_breakout_b1,38464.71875,38454.71875,38072.08984375,38454.71875,sl_hit,10.0,0.0,2.220987272405869,0.0,5
2024-06-04 14:30:00,2024-06-04 17:30:00,US30,SHORT,false_breakout_b1,38546.0703125,38641.5,38072.08984375,38641.5,sl_hit,-95.4296875,-0.2475730644559463,4.9668031109291855,-1.0,5
2024-06-12 14:30:00,2024-06-18 13:30:00,US30,SHORT,engulfing,38871.76953125,38861.76953125,38072.08984375,38861.76953125,sl_hit,10.0,0.0,2.551130274406201,0.0,3
2024-06-13 13:30:00,2024-06-13 18:30:00,US30,SHORT,false_breakout_b1,38459.01953125,38641.5,38072.08984375,38641.5,sl_hit,-182.48046875,-0.4744802935023471,2.12038959648935,-1.0,7
2024-06-14 15:30:00,2024-06-17 14:30:00,US30,SHORT,pin_bar,38516.421875,38641.5,38072.08984375,38641.5,sl_hit,-125.078125,-0.32473973155119307,3.5524359775140537,-1.0,8
2024-06-18 13:30:00,2024-06-20 17:30:00,US30,SHORT,pin_bar,38781.1484375,39200.26171875,38072.08984375,39200.26171875,sl_hit,-419.11328125,-1.0807139502984195,1.6918065484234759,-1.0,4
2024-06-21 14:30:00,2024-06-24 13:30:00,US30,SHORT,false_breakout_b1,39109.66015625,39200.26171875,38072.08984375,39200.26171875,sl_hit,-90.6015625,-0.2316603164998897,11.452013451754764,-1.0,5
2024-06-24 16:30:00,2024-06-28 13:30:00,US30,SHORT,false_breakout_b1,39417.94140625,39407.94140625,38072.08984375,39407.94140625,sl_hit,10.0,0.0,16.13534397976865,0.0,6
2024-06-25 13:30:00,2024-06-28 13:30:00,US30,SHORT,false_breakout_b1,39285.48828125,39275.48828125,38072.08984375,39275.48828125,sl_hit,10.0,0.0,5.62114330178607,0.0,6
2024-06-25 15:30:00,2024-06-26 14:30:00,US30,SHORT,false_breakout_b1,39067.80859375,39057.80859375,38072.08984375,39057.80859375,sl_hit,10.0,0.0,7.517517989854902,0.0,5
2024-06-27 14:30:00,2024-07-08 13:30:00,US30,SHORT,pin_bar,39186.98828125,39501.3515625,38072.08984375,39501.3515625,sl_hit,-314.36328125,-0.8022134260325768,3.546528821899425,-1.0,7
2024-06-28 17:30:00,2024-07-01 13:30:00,US30,SHORT,false_breakout_b1,39056.1484375,39200.26171875,38072.08984375,39200.26171875,sl_hit,-144.11328125,-0.368989997773638,6.828368525194481,-1.0,7
2024-07-01 18:30:00,2024-07-02 13:30:00,US30,SHORT,false_breakout_b1,39095.3203125,39200.26171875,38072.08984375,39200.26171875,sl_hit,-104.94140625,-0.2684244697605072,9.750493206774614,-1.0,7
2024-07-03 13:30:00,2024-07-08 13:30:00,US30,SHORT,pin_bar,39333.421875,39523.6015625,38072.08984375,39523.6015625,sl_hit,-190.1796875,-0.48350659168272525,6.632317298607402,-1.0,4
2024-07-09 13:30:00,2024-07-10 16:30:00,US30,SHORT,engulfing,39192.2109375,39523.6015625,38072.08984375,39523.6015625,sl_hit,-331.390625,-0.8455522591682061,3.380062709227215,-1.0,5
2024-07-11 17:30:00,2024-07-12 13:30:00,US30,SHORT,engulfing,39746.91015625,39948.58984375,38072.08984375,39948.58984375,sl_hit,-201.6796875,-0.5074097249501215,8.304357931435213,-1.0,6
2024-07-12 15:30:00,2024-07-12 16:30:00,US30,SHORT,false_breakout_b1,40051.78125,40157.3984375,38072.08984375,40157.3984375,sl_hit,-105.6171875,-0.2637015987896918,18.74402692506842,-1.0,4
2024-07-12 19:30:00,2024-07-15 13:30:00,US30,SHORT,false_breakout_b1,40013.76953125,40157.3984375,38072.08984375,40157.3984375,sl_hit,-143.62890625,-0.3589487017408558,13.518725012918491,-1.0,4
2024-07-24 13:30:00,2024-07-25 13:30:00,US30,SHORT,false_breakout_b1,40016.73046875,40006.73046875,38072.08984375,40006.73046875,sl_hit,10.0,0.0,13.824331454277859,0.0,5
2024-07-25 19:30:00,2024-07-26 13:30:00,US30,SHORT,false_breakout_b1,39940.1015625,40157.3984375,38072.08984375,40157.3984375,sl_hit,-217.296875,-0.5440568914427131,8.596588049183865,-1.0,5
2024-08-02 13:30:00,2024-08-09 17:30:00,US30,SHORT,false_breakout_b1,39621.5390625,39611.5390625,38072.08984375,39611.5390625,sl_hit,10.0,0.0,4.7376410868916095,0.0,8
2024-08-02 14:30:00,2024-08-02 15:30:00,US30,SHORT,false_breakout_b1,39393.25,39523.6015625,38072.08984375,39523.6015625,sl_hit,-130.3515625,-0.33089821860344093,10.135361102786934,-1.0,6
2024-08-06 18:30:00,2024-08-08 13:30:00,US30,SHORT,engulfing,39258.9296875,39248.9296875,38544.8828125,39248.9296875,sl_hit,10.0,0.0,1.5,0.0,6
2024-08-06 19:30:00,2024-08-07 13:30:00,US30,SHORT,false_breakout_b1,38982.94140625,39200.26171875,38656.9609375,39200.26171875,sl_hit,-217.3203125,-0.5574754101678889,1.5,-1.0,9
2024-08-07 15:30:00,2024-08-07 17:30:00,US30,SHORT,false_breakout_b2,39236.83984375,39226.83984375,38806.697265625,38806.697265625,tp_hit,430.142578125,0.0,1.5,0.0,7
2024-08-07 17:30:00,2024-08-08 13:30:00,US30,SHORT,false_breakout_b2,38826.55859375,39200.26171875,38266.00390625,39200.26171875,sl_hit,-373.703125,-0.9624935573356631,1.5,-1.0,10
2024-08-08 18:30:00,2024-08-09 14:30:00,US30,SHORT,false_breakout_b1,39397.53125,39387.53125,39208.42578125,39387.53125,sl_hit,10.0,0.0,1.5,0.0,7
2024-08-09 17:30:00,2024-08-09 19:30:00,US30,SHORT,false_breakout_b1,39426.87109375,39523.6015625,39281.775390625,39523.6015625,sl_hit,-96.73046875,-0.24534147921602087,1.5,-1.0,8
2024-08-12 13:30:00,2024-08-13 13:30:00,US30,SHORT,false_breakout_b1,39405.94921875,39395.94921875,39229.470703125,39395.94921875,sl_hit,10.0,0.0,1.5,0.0,8
2024-08-12 18:30:00,2024-08-13 13:30:00,US30,SHORT,pin_bar,39325.390625,39523.6015625,39028.07421875,39523.6015625,sl_hit,-198.2109375,-0.5040278922849225,1.5,-1.0,8
2024-08-14 15:30:00,2024-08-15 13:30:00,US30,SHORT,pin_bar,39910.9296875,40157.3984375,39541.2265625,40157.3984375,sl_hit,-246.46875,-0.6175470026126536,1.5,-1.0,7
2024-08-28 16:30:00,2024-08-29 13:30:00,US30,SHORT,pin_bar,41051.69140625,41278.62890625,40711.28515625,41278.62890625,sl_hit,-226.9375,-0.5528091345962165,1.5,-1.0,6
2024-08-30 15:30:00,2024-08-30 16:30:00,US30,SHORT,false_breakout_b1,41196.16015625,41278.62890625,41072.45703125,41278.62890625,sl_hit,-82.46875,-0.20018552624130528,1.5,-1.0,6
