entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,original_stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2024-05-31 19:30:00,2024-06-05 19:30:00,NAS100,LONG,false_breakout_b1,16736.294921875,16746.294921875,16513.8359375,17181.212890625,17181.212890625,tp_hit,444.91796875,1000.0,0.0,2.0,0.0,4,0
2024-07-18 15:30:00,2024-07-24 13:30:00,NAS100,LONG,pin_bar,17822.12890625,17832.12890625,17558.634765625,18431.607421875,17832.12890625,sl_hit,10.0,18.975754026788426,0.0,2.3130628794224255,0.0,3,0
2024-08-13 17:30:00,2024-08-19 18:30:00,NAS100,LONG,pin_bar,17153.787109375,17163.787109375,16937.576171875,17809.236328125,17809.236328125,tp_hit,655.44921875,1515.7633242999095,0.0,3.031526648599819,0.0,7,0
2024-08-19 14:30:00,2024-08-22 13:30:00,NAS100,LONG,false_breakout_b1,17697.974609375,17707.974609375,17558.634765625,17976.654296875,17976.654296875,tp_hit,278.6796875,1000.0,0.0,2.0,0.0,6,0
2024-08-20 16:30:00,2024-08-28 14:30:00,NAS100,LONG,pin_bar,17800.599609375,17558.634765625,17558.634765625,18284.529296875,17558.634765625,sl_hit,-241.96484375,-500.0,-1.3593072652595644,2.0,-1.0,6,0
2024-08-30 19:30:00,2024-09-03 13:30:00,NAS100,LONG,false_breakout_b1,17717.029296875,17558.634765625,17558.634765625,18033.818359375,17558.634765625,sl_hit,-158.39453125,-500.0,-0.8940242102435212,2.0,-1.0,10,0
2024-09-03 19:30:00,2024-09-06 13:30:00,NAS100,LONG,pin_bar,17133.265625,16937.576171875,16937.576171875,17809.236328125,16937.576171875,sl_hit,-195.689453125,-500.0,-1.1421608548428723,3.4543031948339706,-1.0,9,0
2024-09-11 15:30:00,2024-09-18 17:30:00,NAS100,LONG,false_breakout_b1,17091.419921875,17101.419921875,16937.576171875,17809.236328125,17809.236328125,tp_hit,717.81640625,2332.939772496445,0.0,4.66587954499289,0.0,12,0
2024-09-13 16:30:00,2024-09-16 13:30:00,NAS100,LONG,false_breakout_b1,17707.203125,17558.634765625,17558.634765625,18004.33984375,17558.634765625,sl_hit,-148.568359375,-500.0,-0.8390278144222734,2.0,-1.0,11,0
2024-09-18 17:30:00,2024-09-26 13:30:00,NAS100,LONG,false_breakout_b1,17773.998046875,17783.998046875,17558.634765625,18204.724609375,18204.724609375,tp_hit,430.7265625,1000.0,0.0,2.0,0.0,12,0
