direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
short,44458.21,44496.336660394714,44308.21,2025-07-15 05:15:00,asia,44466.336660394714,100166.24094157183,44486.49006380725,2025-07-15 08:05:00,sl,-30.28006380725128,-30.28006380725128,100135.96087776458,100135.96087776458
short,44466.11,44496.87062778256,44316.11,2025-07-15 10:45:00,london,44466.87062778256,100135.96087776458,44487.09363703764,2025-07-15 13:30:00,sl,-22.983637037636072,-22.983637037636072,100112.97724072693,100112.97724072693
short,44451.31,44487.13718751726,44301.31,2025-07-15 13:35:00,new_york,44457.13718751726,100112.97724072693,44487.34509027501,2025-07-15 14:05:00,sl,-38.03509027501423,-38.03509027501423,100074.94215045191,100074.94215045191
short,44457.21,44487.87444550642,44307.21,2025-07-15 14:25:00,new_york,44457.87444550642,100074.94215045191,44483.385261376636,2025-07-15 15:30:00,sl,-28.175261376636627,-28.175261376636627,100046.76688907528,100046.76688907528
short,44427.81,44483.03140080978,44277.81,2025-07-15 15:35:00,new_york,44453.03140080978,100046.76688907528,44481.03900716567,2025-07-15 16:25:00,sl,-55.229007165675284,-55.229007165675284,99991.53788190961,99991.53788190961
short,44416.11,44480.708611411625,44266.11,2025-07-15 16:30:00,new_york,44450.708611411625,99991.53788190961,44266.11,2025-07-15 17:25:00,tp,148.0,148.0,100139.53788190961,100139.53788190961
long,43930.58,43899.54741154562,44080.58,2025-07-16 01:55:00,asia,43929.54741154562,100139.53788190961,43914.29837385154,2025-07-16 09:30:00,sl,-18.281626148462237,-18.281626148462237,100121.25625576114,100121.25625576114
long,43941.41,43909.197698283286,44091.41,2025-07-16 10:15:00,london,43939.197698283286,100121.25625576114,44091.41,2025-07-16 14:20:00,tp,148.0,148.0,100269.25625576114,100269.25625576114
short,44042.41,44073.35506371794,43892.41,2025-07-16 17:50:00,new_york,44043.35506371794,100269.25625576114,44073.66049259647,2025-07-16 17:55:00,sl,-33.250492596467666,-33.250492596467666,100236.00576316466,100236.00576316466
short,43877.91,44074.29229406471,43727.91,2025-07-16 18:15:00,new_york,44044.29229406471,100236.00576316466,44051.71490164151,2025-07-16 18:55:00,sl,-175.8049016415098,-175.8049016415098,100060.20086152316,100060.20086152316
short,44182.08,44213.18,44032.08,2025-07-17 01:05:00,asia,44183.18,100060.20086152316,44196.76260505993,2025-07-17 08:30:00,sl,-16.682605059926573,-16.682605059926573,100043.51825646323,100043.51825646323
short,44189.51,44220.03118869888,44039.51,2025-07-17 10:55:00,london,44190.03118869888,100043.51825646323,44220.90268071618,2025-07-17 12:15:00,sl,-33.39268071617698,-33.39268071617698,100010.12557574705,100010.12557574705
