trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
1,2026-02-27 10:05:00,2026-02-27 11:05:00,short,49289.21,49320.4,49211.23499999999,49320.4,sl,-33.19,-532.06,-1.064,99467.94,london,49300.4,49285.9,2026-02-27 09:50:00
2,2026-02-27 18:18:00,2026-03-02 01:05:00,short,48980.85,49106.9,48665.72499999999,48665.72499999999,tp,313.13,1235.46,2.484,100703.4,new_york,49086.9,48955.21,2026-02-27 16:55:00
3,2026-03-04 08:59:00,2026-03-04 09:24:00,short,48315.01,48360.01,48202.51,48360.01,sl,-47.0,-525.9,-1.044,100177.5,london,48340.01,48295.01,2026-03-04 08:55:00
4,2026-03-19 13:45:00,2026-03-19 15:31:00,short,46159.21,46257.71,45912.96,45912.96,tp,244.25,1242.05,2.48,101419.55,new_york,46237.71,46157.21,2026-03-19 10:40:00
5,2026-03-20 09:04:00,2026-03-20 09:43:00,short,46123.31,46157.81,46037.06,46037.06,tp,84.25,1238.35,2.442,102657.9,london,46137.81,46122.71,2026-03-20 07:50:00
6,2026-03-20 17:07:00,2026-03-20 22:24:00,short,45873.9,46027.9,45488.9,45488.9,tp,383.0,1276.56,2.487,103934.45,new_york,46007.9,45868.4,2026-03-20 17:05:00
7,2026-03-25 09:31:00,2026-03-25 09:50:00,long,46419.91,46398.81,46472.66000000002,46472.66000000002,tp,50.75,1249.92,2.405,105184.38,london,46435.31,46418.81,2026-03-25 07:05:00
8,2026-03-25 19:00:00,2026-03-25 19:05:00,long,46428.9,46369.4,46577.65,46369.4,sl,-61.5,-543.6,-1.034,104640.78,new_york,46490.4,46389.4,2026-03-25 19:00:00
