trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at,date
75,2024-11-04 10:48:00,2024-11-04 11:44:00,short,42021.39,42055.39,41953.39,42055.39,sl,-36.0,-52.94,-1.059,12192.86,london,conservative,bearish,42030.39,42021.39,2024-11-04 10:35:00,2024-11-04
76,2024-11-04 11:44:00,2024-11-04 12:02:00,long,42023.89,41993.39,42084.89,42084.89,tp,59.0,96.72,1.934,12289.58,london,conservative,bullish,42023.89,42018.39,2024-11-04 11:05:00,2024-11-04
77,2024-11-04 11:57:00,2024-11-04 12:39:00,long,42065.14,42033.89,42127.64,42127.64,tp,60.5,96.8,1.936,12386.38,london,conservative,bullish,42065.14,42058.89,2024-11-04 11:50:00,2024-11-04
78,2024-11-04 12:17:00,2024-11-04 14:27:00,long,42094.39,42055.89,42171.39,42055.89,sl,-40.5,-52.6,-1.052,12333.78,london,conservative,bullish,42094.39,42080.89,2024-11-04 12:05:00,2024-11-04
79,2024-11-04 12:51:00,2024-11-04 14:11:00,long,42117.39,42080.39,42191.39,42080.39,sl,-39.0,-52.7,-1.054,12281.08,london,conservative,bullish,42117.39,42105.39,2024-11-04 12:35:00,2024-11-04
80,2024-11-04 14:28:00,2024-11-04 16:11:00,long,42056.39,42016.39,42136.39,42016.39,sl,-42.0,-52.5,-1.05,12228.58,london,conservative,bullish,42056.39,42041.39,2024-11-04 11:45:00,2024-11-04
81,2024-11-04 14:53:00,2024-11-04 16:25:00,short,42060.89,42103.39,41975.89,41975.89,tp,83.0,97.65,1.953,12326.23,london,conservative,bearish,42078.39,42060.89,2024-11-04 14:30:00,2024-11-04
82,2024-11-04 16:50:00,2024-11-04 16:57:00,short,41940.89,41991.89,41838.89,41991.89,sl,-53.0,-51.96,-1.039,12274.27,london,conservative,bearish,41966.89,41940.89,2024-11-04 16:40:00,2024-11-04
83,2024-11-04 18:11:00,2024-11-04 18:27:00,short,41935.64,41969.64,41867.64,41867.64,tp,66.0,97.06,1.941,12371.33,london,conservative,bearish,41944.64,41935.64,2024-11-04 18:00:00,2024-11-04
84,2024-11-04 19:18:00,2024-11-04 19:21:00,short,41736.39,41794.64,41619.89,41794.64,sl,-60.25,-51.72,-1.034,12319.61,new_york,conservative,bearish,41769.64,41736.39,2024-11-04 18:45:00,2024-11-04
85,2024-11-04 19:22:00,2024-11-04 19:26:00,short,41788.64,41832.64,41700.64,41832.64,sl,-46.0,-52.27,-1.045,12267.34,new_york,conservative,bearish,41807.64,41788.64,2024-11-04 18:40:00,2024-11-04
86,2024-11-04 19:26:00,2024-11-04 19:50:00,short,41822.64,41889.14,41689.64,41889.14,sl,-68.5,-51.5,-1.03,12215.83,new_york,conservative,bearish,41864.14,41822.64,2024-11-04 18:35:00,2024-11-04
87,2024-11-04 20:09:00,2024-11-05 16:53:00,long,41805.64,41727.89,41961.14,41961.14,tp,153.5,98.71,1.974,12314.55,new_york,conservative,bullish,41805.64,41752.89,2024-11-04 19:25:00,2024-11-05
88,2024-11-04 22:44:00,2024-11-05 01:00:00,short,41818.89,41854.64,41747.39,41854.64,sl,-37.75,-52.8,-1.056,12261.75,new_york,conservative,bearish,41829.64,41818.89,2024-11-04 22:35:00,2024-11-05
89,2024-11-05 10:16:00,2024-11-05 16:30:00,long,41838.55,41791.8,41932.05,41791.8,sl,-48.75,-52.14,-1.043,12209.61,london,conservative,bullish,41838.55,41816.8,2024-11-05 03:50:00,2024-11-05
90,2024-11-05 16:30:00,2024-11-05 16:31:00,short,41879.9,41917.9,41803.9,41803.9,tp,74.0,97.37,1.947,12306.98,london,conservative,bearish,41892.9,41879.9,2024-11-05 13:50:00,2024-11-05
91,2024-11-05 17:12:00,2024-11-05 17:36:00,long,42055.15,42001.9,42161.65,42161.65,tp,104.5,98.12,1.962,12405.1,london,conservative,bullish,42055.15,42026.9,2024-11-05 17:05:00,2024-11-05
92,2024-11-05 20:04:00,2024-11-05 20:10:00,long,42265.15,42235.15,42325.15,42235.15,sl,-32.0,-53.33,-1.067,12351.77,new_york,conservative,bullish,42265.15,42260.15,2024-11-05 19:55:00,2024-11-05
93,2024-11-05 20:26:00,2024-11-05 20:37:00,long,42176.15,42135.15,42258.15,42135.15,sl,-43.0,-52.44,-1.049,12299.33,new_york,conservative,bullish,42176.15,42160.15,2024-11-05 19:15:00,2024-11-05
94,2024-11-05 21:56:00,2024-11-05 22:10:00,long,42142.15,42115.65,42195.15,42195.15,tp,51.0,96.23,1.925,12395.55,new_york,conservative,bullish,42142.15,42140.65,2024-11-05 19:10:00,2024-11-05
