trade_id,type,entry_time,entry_price,exit_time,exit_price,original_stop_loss,stop_loss,take_profit,pnl_points_gross,spread_cost,pnl_points_net,planned_risk_pts,r_multiple,pnl_usd,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-02-27 11:00:00,49302.31,2026-02-27 11:06:00,49325.71,49325.71,49325.71,49258.81,-23.400000000001455,2,-25.400000000001455,23.400000000001455,-1.08547008547008,-542.73504273504,-0.54273504273504,closed_sl,False,False,1.9419642857141595,pin_bar_bearish,0.625,0.0,29.900000000001455
2,short,2026-03-11 10:04:00,47824.31,2026-03-11 10:24:00,47788.01,47844.41,47844.41,47788.01,36.299999999995634,2,34.299999999995634,20.10000000000582,1.706467661690831,853.2338308454155,0.8578898999605862,closed_tp,False,False,1.7203791469187497,pin_bar_bearish,0.625,44.0,13.0
3,short,2026-03-11 13:50:00,47760.31,2026-03-11 13:54:00,47777.81,47777.81,47777.81,47723.9,-17.5,2,-19.5,17.5,-1.1142857142857143,-557.1428571428571,-0.5554182900832054,closed_sl,False,False,1.916315789473485,engulfing_bearish,0.7,0.5,10.5
4,long,2026-03-24 16:20:00,45882.91,2026-03-24 16:21:00,45861.31,45861.31,45861.31,45923.9,-21.60000000000582,2,-23.60000000000582,21.60000000000582,-1.0925925925925677,-546.2962962962838,-0.5476470352279056,closed_sl,False,False,1.9426540284353866,pin_bar_bullish,0.5499999999999999,0.0,14.5
5,short,2026-03-25 16:38:00,46667.1,2026-03-25 16:43:00,46604.2,46691.91,46691.91,46604.2,62.900000000001455,2,60.900000000001455,24.810000000004948,2.4546553808943696,1227.3276904471848,1.237137452684117,closed_tp,False,False,2.7575624725992025,engulfing_bearish,0.5549295774647887,72.0,0.0
6,short,2026-03-26 17:17:00,46515.0,2026-03-26 17:20:00,46457.31,46542.5,46542.5,46457.31,57.69000000000233,2,55.69000000000233,27.5,2.0250909090909937,1012.5454545454968,1.0081661087529343,closed_tp,False,False,2.136666666666753,pin_bar_bearish,0.8,46.5,0.0
