trade_id,type,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,pnl,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-03-09 01:20:00,46527.68,2026-03-09 01:25:00,46524.68,46570.0,46374.21,3.0,0.003,closed_be,True,True,3.626417769376234,engulfing_bearish,0.6666666666666667,24.0,0.0
2,short,2026-03-09 01:35:00,46601.18,2026-03-09 01:40:00,46598.18,46570.0,46374.21,3.0,0.002999910002699919,closed_be,True,True,7.279345734445126,pin_bar_bearish,0.6107142857142858,41.5,0.0
3,short,2026-03-09 02:25:00,46643.31,2026-03-09 02:30:00,46640.31,46570.0,46374.21,3.0,0.002999820010799352,closed_be,True,True,3.6707134088119915,engulfing_bearish,0.8999999999999999,46.5,0.0
4,short,2026-03-09 04:05:00,46569.31,2026-03-09 04:10:00,46566.31,46570.0,46374.21,3.0,0.0029997300242978133,closed_be,True,True,282.7536231874496,pin_bar_bearish,0.8999999999999999,0.0,0.0
5,short,2026-03-09 04:25:00,46493.31,2026-03-09 04:50:00,46374.21,46570.0,46374.21,119.09999999999854,0.11908570971483276,closed_tp,True,True,1.5530056069891112,engulfing_bearish,0.7,103.5,41.0
6,short,2026-03-09 05:00:00,46384.31,2026-03-09 05:05:00,46334.81,46334.81,46196.1,49.5,0.0494351904653,closed_sl,False,False,3.8022222222222046,pin_bar_bearish,0.6818181818181818,0.0,6.0
7,short,2026-03-09 05:10:00,46386.81,2026-03-09 05:15:00,46383.81,46334.81,46196.1,3.0,0.002994591767268313,closed_be,True,True,3.667499999999983,pin_bar_bearish,0.8999999999999999,81.0,0.0
8,short,2026-03-09 05:25:00,46374.31,2026-03-09 05:30:00,46371.31,46334.81,46196.1,3.0,0.002994502094155131,closed_be,True,True,4.511645569620231,pin_bar_bearish,0.8999999999999999,13.0,0.0
9,short,2026-03-09 05:55:00,46436.31,2026-03-09 06:00:00,46334.81,46334.81,46196.1,101.5,0.1013109537602833,closed_sl,False,False,2.366600985221666,pin_bar_bearish,0.8,0.0,13.5
10,short,2026-03-09 06:00:00,46449.81,2026-03-09 06:05:00,46334.81,46334.81,46196.1,115.0,0.11466963677644705,closed_sl,False,False,2.2061739130434708,pin_bar_bearish,0.551923076923077,0.0,18.0
11,short,2026-03-09 06:20:00,46445.31,2026-03-09 06:25:00,46334.81,46334.81,46196.1,110.5,0.11005636280154696,closed_sl,False,False,2.255294117647051,pin_bar_bearish,0.7035714285714285,6.5,0.0
12,short,2026-03-09 06:45:00,46419.31,2026-03-09 06:50:00,46334.81,46334.81,46196.1,84.5,0.08406822559335254,closed_sl,False,False,2.641538461538451,pin_bar_bearish,0.8,0.0,1.5
