trade_id,type,entry_time,entry_price,exit_time,exit_price,original_stop_loss,stop_loss,take_profit,pnl_points_gross,spread_cost,pnl_points_net,planned_risk_pts,r_multiple,pnl_usd,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-02-26 16:27:00,49659.61,2026-02-26 16:27:00,49628.61,49628.61,49628.61,49609.21,31.0,2,29.0,31.0,0.9354838709677419,467.7419354838709,0.4677419354838709,closed_sl,False,False,1.5750000000000455,pin_bar_bearish,0.625,0.0,1.5
2,short,2026-02-26 16:29:00,49664.61,2026-02-26 16:29:00,49628.61,49628.61,49628.61,49609.71,36.0,2,34.0,36.0,0.9444444444444444,472.22222222222223,0.47002372415761406,closed_sl,False,False,1.5041095890411358,pin_bar_bearish,0.7,0.0,45.0
3,short,2026-02-26 16:32:00,49674.3,2026-02-26 16:32:00,49628.61,49628.61,49628.61,49608.71,45.69000000000233,2,43.69000000000233,45.69000000000233,0.956226745458527,478.1133727292635,0.4736611278980356,closed_sl,False,False,1.389913117185856,pin_bar_bearish,0.6,0.0,42.0
4,short,2026-02-26 16:34:00,49713.3,2026-02-26 16:34:00,49628.61,49628.61,49628.61,49611.71,84.69000000000233,2,82.69000000000233,84.69000000000233,0.9763844609753224,488.1922304876612,0.48136608618040094,closed_sl,False,False,1.2211804303401965,pin_bar_bearish,0.6,0.0,38.5
5,short,2026-02-26 16:50:00,49668.8,2026-02-26 16:50:00,49628.61,49628.61,49628.61,49610.71,40.19000000000233,2,38.19000000000233,40.19000000000233,0.9502363772082636,475.1181886041318,0.46623057611546553,closed_sl,False,False,1.4635928445452349,engulfing_bearish,0.6,18.0,0.0
6,short,2026-02-26 16:55:00,49678.8,2026-02-26 16:55:00,49628.61,49628.61,49628.61,49612.21,50.19000000000233,2,48.19000000000233,50.19000000000233,0.9601514245865729,480.0757122932864,0.46890916592179654,closed_sl,False,False,1.3818219547624107,engulfing_bearish,0.6,4.0,0.0
7,short,2026-02-26 16:56:00,49676.8,2026-02-26 16:56:00,49628.61,49628.61,49628.61,49612.21,48.19000000000233,2,46.19000000000233,48.19000000000233,0.9584976136127847,479.2488068063924,0.4659167678014263,closed_sl,False,False,1.3983546222126115,pin_bar_bearish,0.6,25.0,0.0
8,short,2026-02-27 11:00:00,49302.31,2026-02-27 11:00:00,49310.71,49310.71,49310.71,49258.81,-8.400000000001455,2,-10.400000000001455,8.400000000001455,-1.2380952380951968,-619.0476190475985,-0.5990355632931551,closed_sl,False,False,5.8783783783772225,pin_bar_bearish,0.825,0.0,10.400000000001455
9,short,2026-03-05 13:31:00,48674.91,2026-03-05 13:32:00,48690.91,48690.91,48690.91,48651.61,-16.0,2,-18.0,16.0,-1.125,-562.5,-0.5475962649395321,closed_sl,False,False,1.5032258064518007,pin_bar_bearish,0.7,0.0,9.0
10,short,2026-03-11 09:37:00,47836.31,2026-03-11 09:37:00,47829.41,47829.41,47829.41,47787.51,6.899999999994179,2,4.899999999994179,6.899999999994179,0.7101449275359873,355.07246376799367,0.34756789984609604,closed_sl,False,False,7.625000000006253,pin_bar_bearish,0.65,6.5,0.0
11,short,2026-03-11 10:04:00,47824.31,2026-03-11 10:08:00,47829.41,47829.41,47829.41,47788.01,-5.100000000005821,2,-7.100000000005821,5.100000000005821,-1.3921568627446506,-696.0784313723253,-0.6790065942203491,closed_sl,False,False,5.950819672124753,pin_bar_bearish,0.825,35.5,2.5
12,short,2026-03-11 10:05:00,47816.81,2026-03-11 10:08:00,47829.41,47829.41,47829.41,47786.01,-12.60000000000582,2,-14.60000000000582,12.60000000000582,-1.1587301587300853,-579.3650793650427,-0.5690194025572869,closed_sl,False,False,2.655172413791395,engulfing_bearish,0.8,28.0,10.0
13,short,2026-03-11 10:09:00,47824.81,2026-03-11 10:10:00,47829.41,47829.41,47829.41,47788.01,-4.600000000005821,2,-6.600000000005821,4.600000000005821,-1.434782608695102,-717.391304347551,-0.7086130498021178,closed_sl,False,False,6.571428571420961,pin_bar_bearish,0.63,7.5,11.0
14,short,2026-03-11 13:46:00,47768.31,2026-03-11 13:46:00,47762.81,47762.81,47762.81,47722.9,5.5,2,3.5,5.5,0.6363636363636364,318.1818181818182,0.316531415473753,closed_sl,False,False,9.081999999999244,pin_bar_bearish,0.8999999999999999,14.5,0.0
15,short,2026-03-11 13:50:00,47760.31,2026-03-11 13:50:00,47762.81,47762.81,47762.81,47723.9,-2.5,2,-4.5,2.5,-1.8,-900.0,-0.8925066541088816,closed_sl,False,False,9.102499999999054,engulfing_bearish,0.8999999999999999,0.0,8.0
16,short,2026-03-11 13:57:00,47769.81,2026-03-11 13:57:00,47762.81,47762.81,47762.81,47721.9,7.0,2,5.0,7.0,0.7142857142857143,357.14285714285717,0.35735875787917665,closed_sl,False,False,6.387999999999495,engulfing_bearish,0.825,0.0,7.0
17,short,2026-03-11 14:10:00,47785.81,2026-03-11 14:10:00,47762.81,47762.81,47762.81,47720.4,23.0,2,21.0,23.0,0.9130434782608695,456.52173913043475,0.45517112272299476,closed_sl,False,False,2.6163999999998486,engulfing_bearish,0.6173913043478261,0.0,0.0
18,short,2026-03-11 14:18:00,47809.81,2026-03-11 14:18:00,47762.81,47762.81,47762.81,47721.9,47.0,2,45.0,47.0,0.9574468085106383,478.72340425531917,0.4751443843463921,closed_sl,False,False,1.8507368421051835,engulfing_bearish,0.7,21.0,0.0
