trade_id,type,entry_time,entry_price,exit_time,exit_price,original_stop_loss,stop_loss,take_profit,pnl_points_gross,spread_cost,pnl_points_net,planned_risk_pts,r_multiple,pnl_usd,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,long,2025-08-12 12:00:00,44036.81,2025-08-12 13:00:00,44015.41,44015.41,44015.41,44071.81,-21.39999999999418,2,-23.39999999999418,21.39999999999418,-1.093457943925259,-546.7289719626294,-0.5467289719626295,closed_sl,False,False,1.6355140186920336,pin_bar_bullish,0.7,14.5,18.299999999995634
2,long,2025-08-12 14:20:00,43977.11,2025-08-12 14:20:00,44015.41,44015.41,44015.41,44070.81,38.30000000000291,2,36.30000000000291,38.30000000000291,0.9477806788511789,473.89033942558945,0.47649547825530314,closed_sl,False,False,2.512064343163265,engulfing_bullish,0.7492647058824438,0.0,3.0
3,long,2025-08-12 14:30:00,43970.31,2025-08-12 14:30:00,44015.41,44015.41,44015.41,44070.81,45.10000000000582,2,43.10000000000582,45.10000000000582,0.9556541019955711,477.82705099778553,0.47817534738194784,closed_sl,False,False,2.2789115646255493,pin_bar_bullish,0.7916666666655887,14.80000000000291,0.0
4,long,2025-08-12 14:35:00,43985.11,2025-08-12 14:35:00,44015.41,44015.41,44015.41,44071.81,30.30000000000291,2,28.30000000000291,30.30000000000291,0.9339933993399403,466.99669966997016,0.4651130457021264,closed_sl,False,False,2.8613861386134904,engulfing_bullish,0.8,0.0,1.8000000000029104
5,long,2025-08-12 14:55:00,43977.91,2025-08-12 14:55:00,44015.41,44015.41,44015.41,44072.81,37.5,2,35.5,37.5,0.9466666666666667,473.3333333333333,0.46924161627137095,closed_sl,False,False,2.4649350649349135,engulfing_bullish,0.5798701298702735,13.799999999995634,0.0
6,long,2025-08-21 20:20:00,44700.21,2025-08-21 20:20:00,44686.31,44686.31,44686.31,44748.71,-13.900000000001455,2,-15.900000000001455,13.900000000001455,-1.1438848920863158,-571.9424460431579,-0.5643501394857925,closed_sl,False,False,3.759689922480196,pin_bar_bullish,0.840983606557506,0.0,24.900000000001455
7,long,2025-08-22 08:45:00,44775.21,2025-08-22 09:05:00,44763.01,44763.01,44763.01,44803.31,-12.19999999999709,2,-14.19999999999709,12.19999999999709,-1.1639344262295472,-581.9672131147736,-0.5775009592647447,closed_sl,False,False,2.3032786885250203,pin_bar_bullish,0.55,21.900000000001455,14.900000000001455
8,long,2025-08-22 09:50:00,44734.11,2025-08-22 09:50:00,44763.01,44763.01,44763.01,44804.31,28.900000000001455,2,26.900000000001455,28.900000000001455,0.9307958477508685,465.3979238754343,0.46450881316599774,closed_sl,False,False,2.34782608695631,engulfing_bullish,0.5124999999999778,20.19999999999709,0.0
9,short,2026-02-11 16:10:00,50426.21,2026-02-11 16:30:00,50458.45,50458.45,50458.45,50350.45,-32.23999999999796,2,-34.23999999999796,32.23999999999796,-1.0620347394540983,-531.0173697270492,-0.527552370327364,closed_sl,False,False,2.425096030730057,pin_bar_bearish,0.8,23.5,31.69000000000233
10,short,2026-02-12 16:50:00,50307.2,2026-02-12 16:50:00,50339.01,50339.01,50339.01,50223.01,-31.810000000004948,2,-33.81000000000495,31.810000000004948,-1.0628733102797765,-531.4366551398882,-0.5307690042782236,closed_sl,False,False,2.527469228459398,pin_bar_bearish,0.6060975609756099,0.0,37.5
