trade_id,type,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,pnl,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-03-09 01:20:00,46527.68,2026-03-09 01:30:00,46522.68,46585.0,46374.21,5.0,0.005,closed_be,True,True,2.677424982554116,engulfing_bearish,0.5666666666666667,24.0,65.0
2,short,2026-03-09 01:35:00,46601.18,2026-03-09 01:40:00,46585.0,46585.0,46374.21,16.18000000000029,0.01617919104044827,closed_sl,False,False,14.027812113720463,pin_bar_bearish,0.6107142857142858,41.5,0.0
3,short,2026-03-09 02:25:00,46643.31,2026-03-09 02:30:00,46585.0,46585.0,46374.21,58.30999999999767,0.05829765255718607,closed_sl,False,False,4.61498885268409,engulfing_bearish,0.8999999999999999,46.5,0.0
4,short,2026-03-09 04:05:00,46569.31,2026-03-09 04:15:00,46564.31,46585.0,46374.21,5.0,0.004996028656820694,closed_be,True,True,12.434671765453766,pin_bar_bearish,0.8999999999999999,39.5,0.0
5,short,2026-03-09 04:25:00,46493.31,2026-03-09 04:30:00,46349.81,46349.81,46196.1,143.5,0.14337885920186036,closed_sl,False,False,2.0711498257839662,engulfing_bearish,0.8,0.0,41.0
6,short,2026-03-09 05:00:00,46384.31,2026-03-09 05:05:00,46349.81,46349.81,46196.1,34.5,0.03442152237114603,closed_sl,False,False,5.455362318840554,pin_bar_bearish,0.6818181818181818,0.0,6.0
7,short,2026-03-09 05:10:00,46386.81,2026-03-09 05:15:00,46349.81,46349.81,46196.1,37.0,0.03690313296627683,closed_sl,False,False,5.154324324324301,pin_bar_bearish,0.8999999999999999,81.0,0.0
8,short,2026-03-09 05:25:00,46374.31,2026-03-09 05:30:00,46349.81,46349.81,46196.1,24.5,0.024426844044770316,closed_sl,False,False,7.273877551020372,pin_bar_bearish,0.8999999999999999,13.0,0.0
9,short,2026-03-09 05:55:00,46436.31,2026-03-09 06:00:00,46349.81,46349.81,46196.1,86.5,0.08622065370406422,closed_sl,False,False,2.776994219653169,pin_bar_bearish,0.8,0.0,13.5
10,short,2026-03-09 06:00:00,46449.81,2026-03-09 06:05:00,46349.81,46349.81,46196.1,100.0,0.09959118813183762,closed_sl,False,False,2.5370999999999913,pin_bar_bearish,0.551923076923077,0.0,18.0
11,short,2026-03-09 06:20:00,46445.31,2026-03-09 06:25:00,46349.81,46349.81,46196.1,95.5,0.09501495814019015,closed_sl,False,False,2.609528795811509,pin_bar_bearish,0.7035714285714285,6.5,0.0
12,short,2026-03-09 06:45:00,46419.31,2026-03-09 06:50:00,46349.81,46349.81,46196.1,69.5,0.06908137378301232,closed_sl,False,False,3.21165467625898,pin_bar_bearish,0.8999999999999999,0.0,1.5
13,short,2026-03-09 06:50:00,46420.81,2026-03-09 06:55:00,46349.81,46349.81,46196.1,71.0,0.07052361999926696,closed_sl,False,False,3.1649295774647763,pin_bar_bearish,0.8999999999999999,0.0,38.0
14,short,2026-03-09 07:10:00,46490.31,2026-03-09 07:15:00,46349.81,46349.81,46196.1,140.5,0.13945895286277468,closed_sl,False,False,2.094021352313161,engulfing_bearish,0.6866666666666666,5.5,0.0
15,short,2026-03-09 07:35:00,46504.81,2026-03-09 08:20:00,46585.0,46585.0,46374.21,-80.19000000000233,-0.0794849762095215,closed_sl,False,False,1.628631999002304,engulfing_bearish,0.7,37.0,157.5
16,short,2026-03-09 08:35:00,46606.81,2026-03-09 08:40:00,46585.0,46585.0,46374.21,21.80999999999767,0.021635445227898984,closed_sl,False,False,10.664832645576496,engulfing_bearish,0.8999999999999999,0.0,48.5
17,short,2026-03-09 08:50:00,46652.81,2026-03-09 08:55:00,46585.0,46585.0,46374.21,67.80999999999767,0.06725273709515353,closed_sl,False,False,4.108538563633802,engulfing_bearish,0.6234375,0.0,34.0
18,short,2026-03-09 09:10:00,46709.41,2026-03-09 09:15:00,46585.0,46585.0,46374.21,124.41000000000349,0.12330467225695768,closed_sl,False,False,2.694317177075757,pin_bar_bearish,0.8,18.5,0.0
19,short,2026-03-09 09:25:00,46691.41,2026-03-09 09:30:00,46585.0,46585.0,46374.21,106.41000000000349,0.10533471166293477,closed_sl,False,False,2.9809228455971617,engulfing_bearish,0.5173076923076922,1.5,0.0
20,short,2026-03-09 09:30:00,46689.91,2026-03-09 09:35:00,46585.0,46585.0,46374.21,104.91000000000349,0.10374059452231021,closed_sl,False,False,3.009246020398378,pin_bar_bearish,0.8999999999999999,55.0,0.0
21,short,2026-03-09 09:45:00,46602.41,2026-03-09 09:50:00,46585.0,46585.0,46374.21,17.410000000003492,0.017198093688619173,closed_sl,False,False,13.107409534747765,engulfing_bearish,0.8999999999999999,0.0,11.0
22,short,2026-03-09 09:55:00,46609.91,2026-03-09 10:00:00,46585.0,46585.0,46374.21,24.910000000003492,0.02460257605070431,closed_sl,False,False,9.46206342834088,pin_bar_bearish,0.8999999999999999,20.0,0.0
23,short,2026-03-09 10:15:00,46629.41,2026-03-09 10:20:00,46585.0,46585.0,46374.21,44.41000000000349,0.04385113049715638,closed_sl,False,False,5.7464535014632805,pin_bar_bearish,0.8999999999999999,0.0,87.0
24,short,2026-03-09 10:25:00,46714.91,2026-03-09 10:30:00,46585.0,46585.0,46374.21,129.9100000000035,0.1282189459654543,closed_sl,False,False,2.622584866445964,pin_bar_bearish,0.8,25.0,0.0
