trade_id,type,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,pnl,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
1,short,2026-03-09 01:20:00,46527.68,2026-03-09 01:30:00,46570.0,46570.0,46374.21,-42.31999999999971,-0.04231999999999971,closed_sl,False,False,3.626417769376234,engulfing_bearish,0.6666666666666667,24.0,65.0
2,short,2026-03-09 01:35:00,46601.18,2026-03-09 01:40:00,46570.0,46570.0,46374.21,31.18000000000029,0.031193200962647688,closed_sl,False,False,7.279345734445126,pin_bar_bearish,0.6107142857142858,41.5,0.0
3,short,2026-03-09 02:25:00,46643.31,2026-03-09 02:30:00,46570.0,46570.0,46374.21,73.30999999999767,0.07331816764387321,closed_sl,False,False,3.6707134088119915,engulfing_bearish,0.8999999999999999,46.5,0.0
4,short,2026-03-09 04:05:00,46569.31,2026-03-09 04:10:00,46570.0,46570.0,46374.21,-0.6900000000023283,-0.0006895712935291414,closed_sl,False,False,282.7536231874496,pin_bar_bearish,0.8999999999999999,0.0,0.0
5,short,2026-03-09 04:25:00,46493.31,2026-03-09 04:50:00,46374.21,46570.0,46374.21,119.09999999999854,0.11902682230964261,closed_tp,False,False,1.5530056069891112,engulfing_bearish,0.7,103.5,41.0
6,short,2026-03-09 05:00:00,46384.31,2026-03-09 05:05:00,46334.81,46334.81,46196.1,49.5,0.04941077402426698,closed_sl,False,False,3.8022222222222046,pin_bar_bearish,0.6818181818181818,0.0,6.0
7,short,2026-03-09 05:10:00,46386.81,2026-03-09 05:15:00,46334.81,46334.81,46196.1,52.0,0.05188063303950272,closed_sl,False,False,3.667499999999983,pin_bar_bearish,0.8999999999999999,81.0,0.0
8,short,2026-03-09 05:25:00,46374.31,2026-03-09 05:30:00,46334.81,46334.81,46196.1,39.5,0.03938889181397116,closed_sl,False,False,4.511645569620231,pin_bar_bearish,0.8999999999999999,13.0,0.0
9,short,2026-03-09 05:55:00,46436.31,2026-03-09 06:00:00,46334.81,46334.81,46196.1,101.5,0.10117464258437717,closed_sl,False,False,2.366600985221666,pin_bar_bearish,0.8,0.0,13.5
10,short,2026-03-09 06:00:00,46449.81,2026-03-09 06:05:00,46334.81,46334.81,46196.1,115.0,0.11451550778964359,closed_sl,False,False,2.2061739130434708,pin_bar_bearish,0.551923076923077,0.0,18.0
11,short,2026-03-09 06:20:00,46445.31,2026-03-09 06:25:00,46334.81,46334.81,46196.1,110.5,0.10990860378475499,closed_sl,False,False,2.255294117647051,pin_bar_bearish,0.7035714285714285,6.5,0.0
12,short,2026-03-09 06:45:00,46419.31,2026-03-09 06:50:00,46334.81,46334.81,46196.1,84.5,0.08395548153784187,closed_sl,False,False,2.641538461538451,pin_bar_bearish,0.8,0.0,1.5
13,short,2026-03-09 06:50:00,46420.81,2026-03-09 06:55:00,46334.81,46334.81,46196.1,86.0,0.08537413925991344,closed_sl,False,False,2.612906976744176,pin_bar_bearish,0.8,0.0,38.0
14,short,2026-03-09 07:10:00,46490.31,2026-03-09 07:15:00,46334.81,46334.81,46196.1,155.5,0.15423667821606785,closed_sl,False,False,1.8920257234726632,engulfing_bearish,0.5866666666666667,5.5,0.0
15,short,2026-03-09 07:35:00,46504.81,2026-03-09 08:20:00,46570.0,46570.0,46374.21,-65.19000000000233,-0.06456080332297727,closed_sl,False,False,2.0033747507285455,engulfing_bearish,0.8,37.0,157.5
16,short,2026-03-09 08:35:00,46606.81,2026-03-09 08:40:00,46570.0,46570.0,46374.21,36.80999999999767,0.036478270258097564,closed_sl,False,False,6.318935071991667,engulfing_bearish,0.8999999999999999,0.0,48.5
17,short,2026-03-09 08:50:00,46652.81,2026-03-09 08:55:00,46570.0,46570.0,46374.21,82.80999999999767,0.0820337962201625,closed_sl,False,False,3.364327979712672,engulfing_bearish,0.6234375,0.0,34.0
18,short,2026-03-09 09:10:00,46709.41,2026-03-09 09:15:00,46570.0,46570.0,46374.21,139.4100000000035,0.13799006839718958,closed_sl,False,False,2.4044186213327308,pin_bar_bearish,0.8,18.5,0.0
19,short,2026-03-09 09:25:00,46691.41,2026-03-09 09:30:00,46570.0,46570.0,46374.21,121.41000000000349,0.12000780480707667,closed_sl,False,False,2.6126348735688594,engulfing_bearish,0.5173076923076922,1.5,0.0
20,short,2026-03-09 09:30:00,46689.91,2026-03-09 09:35:00,46570.0,46570.0,46374.21,119.91000000000349,0.11838305978004257,closed_sl,False,False,2.632807939287759,pin_bar_bearish,0.8,55.0,0.0
21,short,2026-03-09 09:45:00,46602.41,2026-03-09 09:50:00,46570.0,46570.0,46374.21,32.41000000000349,0.03195945478215751,closed_sl,False,False,7.041036717062011,engulfing_bearish,0.8999999999999999,0.0,11.0
